id_user;name;username;rating;date;nama_objek;id_objek;;
10691;Kenneth_0526;/Profile/Kenneth_0526;30;20-Jan;Agrowisata Teba Sari Bali;998;;
10726;ketut s;/Profile/ketuts_11;40;19-Apr;Agrowisata Teba Sari Bali;998;;
11033;kshpk;/Profile/kshpk;40;19-Mar;Agrowisata Teba Sari Bali;998;;
11164;Landi van Rooyen;/Profile/landifunrooyen;50;Mei 2019;Agrowisata Teba Sari Bali;998;;
11269;Leanne O;/Profile/Camper46722748867;50;18-Nov;Agrowisata Teba Sari Bali;998;;
11315;Lena H;/Profile/320lenah;50;19-Jan;Agrowisata Teba Sari Bali;998;;
11546;Linda F;/Profile/4LindaF4;50;17-Jun;Agrowisata Teba Sari Bali;998;;
11679;Lobinqld;/Profile/Lobinqld;40;Agt 2019;Agrowisata Teba Sari Bali;998;;
11729;Lou M;/Profile/l0um0rris0n;20;17-Feb;Agrowisata Teba Sari Bali;998;;
11730;lou_schreurs;/Profile/lou_schreurs;50;17-Jul;Agrowisata Teba Sari Bali;998;;
11943;Macky S;/Profile/mackysacro;40;17-Feb;Agrowisata Teba Sari Bali;998;;
12170;Maree H;/Profile/MareeH67;50;17-Jul;Agrowisata Teba Sari Bali;998;;
12266;mark c;/Profile/markcM4106ZJ;50;17-Mar;Agrowisata Teba Sari Bali;998;;
12443;Mattias;/Profile/30mattiass;50;19-Apr;Agrowisata Teba Sari Bali;998;;
12793;Michael Anbumani;/Profile/maj0ra;50;17-Mar;Agrowisata Teba Sari Bali;998;;
12803;Michael H;/Profile/MichaelH15353;10;19-Jul;Agrowisata Teba Sari Bali;998;;
13276;mucry_;/Profile/mucry_;50;17-Nov;Agrowisata Teba Sari Bali;998;;
14470;Olya;/Profile/OlyaG140;50;Okt 2018;Agrowisata Teba Sari Bali;998;;
14689;Pate E;/Profile/patee2020;50;20-Feb;Agrowisata Teba Sari Bali;998;;
14736;Paula_Rudi;/Profile/Paula_Rudi;50;19-Feb;Agrowisata Teba Sari Bali;998;;
14741;Pauline B;/Profile/PaulineB92;50;17-Apr;Agrowisata Teba Sari Bali;998;;
14883;Philip S;/Profile/423philips;50;17-Jul;Agrowisata Teba Sari Bali;998;;
15011;Pooja V;/Profile/poojav140;40;Mei 2017;Agrowisata Teba Sari Bali;998;;
15043;Prama S;/Profile/PramaS10;30;20-Jan;Agrowisata Teba Sari Bali;998;;
15485;ralphbart;/Profile/ralphbart;50;19-Mar;Agrowisata Teba Sari Bali;998;;
15841;Reza Muhammad;/Profile/genzei;50;20-Feb;Agrowisata Teba Sari Bali;998;;
15957;Richard_Melissa_1289;/Profile/Richard_Melissa_1289;40;Mei 2017;Agrowisata Teba Sari Bali;998;;
16435;Rona;/Profile/Ronaindonesia;10;19-Jul;Agrowisata Teba Sari Bali;998;;
16723;SadB;/Profile/sadbee;50;19-Sep;Agrowisata Teba Sari Bali;998;;
16760;Saif Salwan;/Profile/9saifs;50;Des 2018;Agrowisata Teba Sari Bali;998;;
16834;Samira A;/Profile/453samiraa;50;17-Apr;Agrowisata Teba Sari Bali;998;;
17029;Sasha C;/Profile/192sashac;40;Mei 2017;Agrowisata Teba Sari Bali;998;;
17058;Savy336;/Profile/Savy336;30;19-Feb;Agrowisata Teba Sari Bali;998;;
17088;scootabout;/Profile/scootabout;50;Mei 2017;Agrowisata Teba Sari Bali;998;;
17097;scowan_aust;/Profile/scowan_aust;50;19-Feb;Agrowisata Teba Sari Bali;998;;
17873;stefanihwang;/Profile/stefanihwang;30;16-Jan;Agrowisata Teba Sari Bali;998;;
17946;Steve K;/Profile/S2555XKstevek;40;19-Feb;Agrowisata Teba Sari Bali;998;;
18233;SuzanneMaree;/Profile/INHARMONYGIRL;50;Mei 2019;Agrowisata Teba Sari Bali;998;;
18451;Tara-Lee M;/Profile/taraleem2017;50;17-Jun;Agrowisata Teba Sari Bali;998;;
18631;The inspector;/Profile/kevin1288;20;Okt 2018;Agrowisata Teba Sari Bali;998;;
18704;thibbs1955;/Profile/thibbs1955;40;19-Jun;Agrowisata Teba Sari Bali;998;;
18821;Tina D;/Profile/netballfanatic;40;17-Mar;Agrowisata Teba Sari Bali;998;;
18956;Tony C;/Profile/tonychorley1971;40;17-Jul;Agrowisata Teba Sari Bali;998;;
19027;Travel Life??;/Profile/91brandil;50;Okt 2018;Agrowisata Teba Sari Bali;998;;
19030;Travel mummy;/Profile/mirriamt;20;18-Nov;Agrowisata Teba Sari Bali;998;;
19084;Treena P;/Profile/treenap2014;50;Okt 2018;Agrowisata Teba Sari Bali;998;;
19391;Vadero;/Profile/VaderO1;40;19-Jun;Agrowisata Teba Sari Bali;998;;
